zip_code,latitude,longitude,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,avg_household_size,county,Sector,Total Usage
90038,34.0898,-118.3215,50.88387097,51.50357143,52.49354839,57.89666667,60.51935484,63.87,71.9483871,72.25483871,69.01,67.33870968,60.58333333,56.76129032,2.15,Los Angeles,Residential,23255.48301
90039,34.1121,-118.2594,51.88064516,52.13571429,52.7483871,59.16,60.98709677,64.59333333,74.97096774,74.90645161,70.04,68.99677419,62.43666667,58.67741935,2.38,Los Angeles,Residential,23255.48301
90041,34.1339,-118.2082,51.25483871,51.025,51.75483871,59.05666667,60.60322581,64.19,75.34516129,75.19677419,69.93333333,68.31290323,61.67333333,58.16774194,2.71,Los Angeles,Residential,23255.48301
90042,34.1145,-118.1929,51.10322581,50.87142857,51.58064516,58.90666667,60.4483871,64.03333333,75.19677419,75.04193548,69.79333333,68.15483871,61.51666667,58.01290323,2.82,Los Angeles,Residential,23255.48301
90043,33.9871,-118.3321,51.23225806,51.61071429,52.87741935,58.02333333,61.3516129,64.38,71.41935484,71.49032258,69.20333333,66.97419355,60.60666667,57.25806452,2.56,Los Angeles,Residential,23255.48301
90044,33.9551,-118.2901,51.37419355,51.75,53.03225806,58.16,61.50645161,64.51666667,71.56129032,71.63225806,69.33666667,67.11612903,60.72666667,57.40322581,3.54,Los Angeles,Residential,23255.48301
90045,33.9631,-118.3941,51.99354839,51.68928571,52.83870968,56.96,59.98709677,62.79333333,68.78064516,69.95483871,67.73333333,65.78387097,60.49,57.02258065,2.39,Los Angeles,Residential,23255.48301
90046,34.1074,-118.3652,50.06774194,50.45714286,51.33225806,57.60666667,59.24516129,62.76,72.49677419,73.03548387,68.22333333,67.17741935,59.93666667,55.50322581,1.7,Los Angeles,Residential,23255.48301
90047,33.9569,-118.3073,51.22580645,51.60714286,52.87096774,58.01666667,61.34193548,64.37,71.4,71.48387097,69.19,66.96129032,60.59,57.24516129,3.04,Los Angeles,Residential,23255.48301
90048,34.0737,-118.372,51.43870968,52.03571429,53.03870968,58.45333333,61.05483871,64.41333333,72.49354839,72.78064516,69.56333333,67.9,61.12666667,57.30645161,1.76,Los Angeles,Residential,23255.48301
90049,34.066,-118.474,50.70645161,51.12142857,51.67741935,56.88333333,58.85483871,62.05333333,69.95806452,70.98064516,67.44,65.96451613,59.87333333,55.73548387,2.18,Los Angeles,Residential,23255.48301
90056,33.9853,-118.3707,51.30645161,51.68928571,52.9483871,58.09666667,61.42258065,64.45,71.49032258,71.56774194,69.26,67.04516129,60.66666667,57.33548387,2.23,Los Angeles,Residential,23255.48301
90057,34.0622,-118.2763,50.97741935,51.29642857,52.44193548,58.41666667,60.99677419,64.49666667,72.64516129,72.63870968,69.58,68.06451613,61.16666667,57.86774194,2.71,Los Angeles,Residential,23255.48301
